,f1-score,precision,recall,support
0,0.6290944123314065,0.5266129032258065,0.7811004784688995,836.0
1,0.32829373650107996,0.32340425531914896,0.3333333333333333,228.0
2,0.2727272727272727,0.2803738317757009,0.26548672566371684,113.0
3,0.5306122448979592,0.5416666666666666,0.52,25.0
4,0.2380952380952381,0.2777777777777778,0.20833333333333334,72.0
5,0.34782608695652173,0.39215686274509803,0.3125,128.0
6,0.2198581560283688,0.21602787456445993,0.22382671480144403,277.0
7,0.132295719844358,0.11929824561403508,0.14847161572052403,458.0
8,0.5116279069767442,0.5641025641025641,0.46808510638297873,47.0
9,0.2946708463949843,0.32867132867132864,0.26704545454545453,176.0
10,0.24074074074074073,0.2765957446808511,0.21311475409836064,61.0
11,0.19874213836477989,0.21643835616438356,0.18372093023255814,430.0
12,0.41599281221922735,0.3998272884283247,0.43352059925093633,1068.0
13,0.2801235839340886,0.28451882845188287,0.27586206896551724,493.0
14,0.30275229357798167,0.2668463611859838,0.3498233215547703,283.0
15,0.4067796610169492,0.46153846153846156,0.36363636363636365,66.0
16,0.4293478260869565,0.40512820512820513,0.45664739884393063,173.0
17,0.7340267459138188,0.7201166180758017,0.7484848484848485,330.0
18,0.23064770932069512,0.3173913043478261,0.18114143920595532,403.0
19,0.2751895991332611,0.29603729603729606,0.25708502024291496,494.0
20,0.721311475409836,0.6666666666666666,0.7857142857142857,28.0
21,0.52,0.5179282868525896,0.5220883534136547,249.0
22,0.39361702127659576,0.42045454545454547,0.37,200.0
23,0.18897637795275588,0.16901408450704225,0.21428571428571427,56.0
24,0.5423728813559322,0.6457399103139013,0.4675324675324675,308.0
25,0.3333333333333333,0.4090909090909091,0.28125,96.0
26,0.246392896781354,0.1875,0.3592233009708738,309.0
27,0.2674616695059625,0.2902033271719039,0.2480252764612954,633.0
28,0.2565789473684211,0.27956989247311825,0.23708206686930092,329.0
29,0.22146507666098805,0.26859504132231404,0.18840579710144928,345.0
30,0.3254237288135593,0.3096774193548387,0.34285714285714286,140.0
31,0.3354192740926158,0.3444730077120823,0.32682926829268294,410.0
32,0.33114754098360655,0.35563380281690143,0.3098159509202454,326.0
33,0.3650190114068441,0.4067796610169492,0.3310344827586207,145.0
34,0.33755274261603374,0.321285140562249,0.35555555555555557,225.0
35,0.3850267379679145,0.4235294117647059,0.35294117647058826,306.0
36,0.16066481994459833,0.15425531914893617,0.1676300578034682,173.0
37,0.2401656314699793,0.2642369020501139,0.22011385199240988,527.0
38,0.28688524590163933,0.29350104821802936,0.280561122244489,499.0
39,0.2397476340694006,0.2261904761904762,0.2550335570469799,149.0
40,0.27027027027027023,0.3298611111111111,0.2289156626506024,415.0
41,0.33093525179856115,0.32167832167832167,0.34074074074074073,405.0
42,0.2970822281167109,0.3236994219653179,0.27450980392156865,204.0
43,0.5043859649122807,0.46184738955823296,0.5555555555555556,414.0
44,0.5671641791044776,0.5757575757575758,0.5588235294117647,34.0
accuracy,0.348922512608895,0.348922512608895,0.348922512608895,0.348922512608895
macro avg,0.34861877049280227,0.3595933210502319,0.3459054272741621,13086.0
weighted avg,0.34346123204763057,0.34773286857033664,0.348922512608895,13086.0
