,f1-score,precision,recall,support
0,0.777262180974478,0.7419712070874862,0.8160779537149817,821.0
1,0.35159817351598166,0.3581395348837209,0.3452914798206278,223.0
2,0.21568627450980393,0.23404255319148937,0.2,110.0
3,0.17647058823529413,0.1875,0.16666666666666666,18.0
4,0.24615384615384614,0.25806451612903225,0.23529411764705882,68.0
5,0.2641509433962264,0.3111111111111111,0.22950819672131148,122.0
6,0.22939068100358426,0.22456140350877193,0.23443223443223443,273.0
7,0.09285714285714286,0.10025706940874037,0.08647450110864745,451.0
8,0.5641025641025642,0.6111111111111112,0.5238095238095238,42.0
9,0.39114391143911437,0.5247524752475248,0.31176470588235294,170.0
10,0.2653061224489796,0.30952380952380953,0.23214285714285715,56.0
11,0.19227144203581528,0.16037735849056603,0.24,425.0
12,0.3205070167496604,0.30438521066208085,0.3384321223709369,1046.0
13,0.34105263157894733,0.351409978308026,0.3312883435582822,489.0
14,0.30575539568345317,0.30685920577617326,0.3046594982078853,279.0
15,0.5154639175257731,0.7142857142857143,0.4032258064516129,62.0
16,0.4133738601823708,0.425,0.40236686390532544,169.0
17,0.8011958146487295,0.7701149425287356,0.8348909657320872,321.0
18,0.2938388625592417,0.2786516853932584,0.3107769423558897,399.0
19,0.3035175879396985,0.2978303747534517,0.3094262295081967,488.0
20,0.8163265306122449,0.9090909090909091,0.7407407407407407,27.0
21,0.5466666666666667,0.6,0.5020408163265306,245.0
22,0.4010152284263959,0.398989898989899,0.4030612244897959,196.0
23,0.11904761904761904,0.15151515151515152,0.09803921568627451,51.0
24,0.5648604269293924,0.5639344262295082,0.5657894736842105,304.0
25,0.3474178403755869,0.30578512396694213,0.40217391304347827,92.0
26,0.3089171974522293,0.29846153846153844,0.3201320132013201,303.0
27,0.34840871021775544,0.36684303350970016,0.3317384370015949,627.0
28,0.32670454545454547,0.3034300791556728,0.35384615384615387,325.0
29,0.25990099009900997,0.22483940042826553,0.30791788856304986,341.0
30,0.36781609195402304,0.384,0.35294117647058826,136.0
31,0.3587443946188341,0.45627376425855515,0.2955665024630542,406.0
32,0.4030418250950571,0.5196078431372549,0.32919254658385094,322.0
33,0.33201581027667987,0.3783783783783784,0.29577464788732394,142.0
34,0.4115044247787611,0.39914163090128757,0.4246575342465753,219.0
35,0.434640522875817,0.4208860759493671,0.44932432432432434,296.0
36,0.09523809523809523,0.14285714285714285,0.07142857142857142,168.0
37,0.2807017543859649,0.28628230616302186,0.27533460803059273,523.0
38,0.3121019108280254,0.3252212389380531,0.3,490.0
39,0.19327731092436976,0.25,0.15753424657534246,146.0
40,0.28463476070528965,0.2912371134020619,0.27832512315270935,406.0
41,0.33567839195979904,0.28114478114478114,0.4164588528678304,401.0
42,0.31524547803617575,0.32620320855614976,0.305,200.0
43,0.5063938618925831,0.532258064516129,0.48292682926829267,410.0
44,0.5614035087719299,0.5925925925925926,0.5333333333333333,30.0
accuracy,0.36843745131640443,0.36843745131640443,0.36843745131640443,0.36843745131640443
macro avg,0.3620622856703013,0.38175384363429254,0.35221793738337814,12838.0
weighted avg,0.36762359657993554,0.37399194362279903,0.36843745131640443,12838.0
